Date,Close
1/4/2021,4950.5
1/5/2021,5034
1/6/2021,4931
1/7/2021,4952
1/8/2021,4995
1/11/2021,4812.5
1/12/2021,4751
1/13/2021,4761
1/14/2021,4655.5
1/15/2021,4768.5
1/18/2021,4896
1/19/2021,4946
1/20/2021,5091
1/21/2021,5222
1/22/2021,5232.5
1/25/2021,5287.5
1/26/2021,5400.5
1/27/2021,5252.5
1/28/2021,5140
1/29/2021,4985
2/1/2021,5073.5
2/2/2021,5197
2/3/2021,5195.5
2/4/2021,5181.5
2/5/2021,5202
2/8/2021,5151
2/9/2021,5246.5
2/10/2021,5265.5
2/11/2021,5142
2/12/2021,5081
2/17/2021,5032
2/18/2021,4895
2/19/2021,4695
2/22/2021,4646
2/23/2021,4738
2/24/2021,4849.5
2/25/2021,4766.5
2/26/2021,4950
3/1/2021,4998
3/2/2021,4961.5
3/3/2021,4844
3/4/2021,4909.5
3/5/2021,5017.5
3/8/2021,4903.5
3/9/2021,5161
3/10/2021,5026
3/11/2021,5161.5
3/12/2021,5020
3/15/2021,5150
3/16/2021,5288
3/17/2021,5342
3/18/2021,5277.5
3/19/2021,5419
3/22/2021,5494.5
3/23/2021,5422.5
3/25/2021,5166
3/26/2021,5127
3/29/2021,5297.5
3/30/2021,5286
3/31/2021,5474.5
4/5/2021,5721
4/6/2021,5770.5
4/7/2021,5909.5
4/8/2021,5943
4/9/2021,5905.5
4/12/2021,5869.5
4/13/2021,5875.5
4/14/2021,5723.5
4/15/2021,5848.5
4/16/2021,5796
4/19/2021,5727.5
4/20/2021,5809.5
4/21/2021,5783
4/22/2021,5665.5
4/23/2021,5812.5
4/26/2021,5891.5
4/27/2021,5955.5
4/28/2021,6065.5
4/29/2021,6469.5
4/30/2021,6404
5/3/2021,6398.5
5/4/2021,6349.5
5/5/2021,6265
5/6/2021,6340
5/7/2021,6328
5/10/2021,6063.5
5/11/2021,6038
5/12/2021,5992.5
5/13/2021,6096
5/14/2021,6296.5
5/17/2021,6316.5
5/18/2021,6300.5
5/19/2021,6388
5/20/2021,6564
5/21/2021,6551
5/26/2021,6737
5/27/2021,6801.5
5/28/2021,6797.5
5/31/2021,6799
6/1/2021,6832.5
6/2/2021,6880
6/3/2021,6801
6/4/2021,6872.5
6/7/2021,7022
6/8/2021,6931.5
6/9/2021,6845
6/10/2021,6877
6/11/2021,6813.5
6/14/2021,7069.5
6/15/2021,6971
6/16/2021,6882
6/17/2021,7016.5
6/18/2021,6904
6/22/2021,7173
